Rider_Name,Season,Points,Racedays,KMs_Rode,Wins,Top_10s
franck-bouyer,1996.0,12.0,23.0,3586.0,0.0,1.0
franck-bouyer,1995.0,4.0,7.0,918.0,0.0,0.0
franck-bouyer,1994.0,14.0,2.0,134.0,0.0,1.0
franck-bouyer,1992.0,30.0,1.0,0.0,0.0,1.0
marco-brenner,2022.0,7.0,18.0,2778.0,0.0,0.0
marco-brenner,2021.0,22.0,42.0,6203.0,0.0,0.0
marco-brenner,2020.0,132.0,6.0,450.0,2.0,3.0
marco-brenner,2019.0,1021.0,30.0,2988.0,12.0,17.0
allan-davis,2014.0,0.0,1.0,92.0,0.0,0.0
allan-davis,2013.0,28.0,36.0,4985.0,0.0,1.0
allan-davis,2012.0,478.0,81.0,12123.0,0.0,8.0
allan-davis,2011.0,127.0,53.0,7636.0,0.0,0.0
allan-davis,2010.0,581.0,82.0,13260.0,0.0,10.0
allan-davis,2009.0,1122.0,75.0,12182.0,4.0,13.0
allan-davis,2008.0,856.0,65.0,10740.0,2.0,13.0
allan-davis,2007.0,786.0,71.0,11221.0,6.0,15.0
allan-davis,2006.0,298.0,35.0,5536.0,2.0,7.0
allan-davis,2005.0,908.0,70.0,11268.0,4.0,15.0
allan-davis,2004.0,944.0,84.0,13326.0,5.0,14.0
allan-davis,2003.0,314.0,52.0,8647.0,2.0,4.0
allan-davis,2002.0,1.0,32.0,4428.0,0.0,2.0
allan-davis,2001.0,46.0,19.0,2698.0,0.0,3.0
allan-davis,2000.0,36.0,14.0,1835.0,0.0,1.0
allan-davis,1999.0,9.0,15.0,1613.0,0.0,2.0
allan-davis,1998.0,0.0,1.0,138.0,0.0,0.0
allan-davis,1997.0,100.0,2.0,61.0,1.0,1.0
marko-kump,2020.0,26.0,17.0,2303.0,0.0,2.0
marko-kump,2019.0,169.0,36.0,5271.0,7.0,13.0
marko-kump,2018.0,53.0,46.0,6695.0,0.0,0.0
marko-kump,2017.0,245.0,66.0,9729.0,0.0,4.0
marko-kump,2016.0,165.0,69.0,9540.0,2.0,5.0
marko-kump,2015.0,531.0,54.0,8234.0,18.0,25.0
marko-kump,2014.0,28.0,43.0,6508.0,0.0,1.0
marko-kump,2013.0,85.0,66.0,10299.0,0.0,2.0
marko-kump,2012.0,304.0,41.0,6598.0,6.0,15.0
marko-kump,2011.0,16.0,53.0,7726.0,0.0,1.0
marko-kump,2010.0,119.0,29.0,4410.0,3.0,7.0
marko-kump,2009.0,150.0,32.0,4991.0,3.0,7.0
marko-kump,2008.0,15.0,41.0,5764.0,0.0,1.0
marko-kump,2007.0,27.0,20.0,2671.0,1.0,1.0
marko-kump,2006.0,171.0,14.0,1428.0,1.0,4.0
marko-kump,2005.0,12.0,6.0,434.0,0.0,1.0
giovanni-visconti,2022.0,0.0,12.0,1319.0,0.0,0.0
giovanni-visconti,2021.0,55.0,49.0,7227.0,0.0,0.0
giovanni-visconti,2020.0,151.0,49.0,8583.0,0.0,1.0
giovanni-visconti,2019.0,644.0,72.0,11499.0,3.0,7.0
giovanni-visconti,2018.0,501.0,72.0,11970.0,3.0,8.0
giovanni-visconti,2017.0,647.0,91.0,14994.0,1.0,8.0
giovanni-visconti,2016.0,778.0,86.0,14612.0,2.0,5.0
giovanni-visconti,2015.0,448.0,88.0,14441.0,0.0,1.0
giovanni-visconti,2014.0,219.0,62.0,10012.0,0.0,1.0
giovanni-visconti,2013.0,443.0,86.0,14296.0,2.0,3.0
giovanni-visconti,2012.0,673.0,78.0,13495.0,2.0,4.0
giovanni-visconti,2011.0,1087.0,86.0,14032.0,5.0,19.0
giovanni-visconti,2010.0,901.0,70.0,11694.0,6.0,17.0
giovanni-visconti,2009.0,851.0,77.0,13124.0,4.0,12.0
giovanni-visconti,2008.0,892.0,85.0,14723.0,2.0,10.0
giovanni-visconti,2007.0,479.0,82.0,13620.0,3.0,7.0
giovanni-visconti,2006.0,354.0,56.0,9263.0,1.0,3.0
giovanni-visconti,2005.0,282.0,53.0,9013.0,0.0,1.0
giovanni-visconti,2004.0,75.0,23.0,3503.0,3.0,7.0
giovanni-visconti,2003.0,24.0,10.0,1467.0,1.0,4.0
bram-tankink,2018.0,59.0,50.0,6969.0,0.0,0.0
bram-tankink,2017.0,84.0,68.0,11840.0,0.0,0.0
bram-tankink,2016.0,65.0,86.0,13349.0,0.0,0.0
bram-tankink,2015.0,102.0,72.0,12008.0,0.0,0.0
bram-tankink,2014.0,170.0,81.0,13435.0,0.0,0.0
bram-tankink,2013.0,106.0,73.0,11671.0,0.0,0.0
bram-tankink,2012.0,78.0,67.0,10811.0,0.0,0.0
bram-tankink,2011.0,313.0,88.0,14019.0,0.0,1.0
bram-tankink,2010.0,218.0,83.0,13734.0,0.0,1.0
bram-tankink,2009.0,151.0,76.0,11679.0,0.0,0.0
bram-tankink,2008.0,250.0,80.0,13508.0,0.0,0.0
bram-tankink,2007.0,323.0,74.0,11966.0,1.0,1.0
bram-tankink,2006.0,173.0,82.0,13820.0,0.0,0.0
bram-tankink,2005.0,208.0,86.0,13899.0,1.0,1.0
bram-tankink,2004.0,159.0,65.0,10471.0,0.0,0.0
bram-tankink,2003.0,82.0,77.0,11771.0,0.0,0.0
bram-tankink,2002.0,32.0,59.0,8896.0,0.0,0.0
bram-tankink,2001.0,8.0,30.0,5070.0,0.0,0.0
bram-tankink,2000.0,10.0,24.0,3079.0,0.0,2.0
bram-tankink,1999.0,0.0,1.0,174.0,0.0,0.0
ariel-maximiliano-richeze,2022.0,18.0,30.0,4639.0,0.0,0.0
ariel-maximiliano-richeze,2021.0,71.0,75.0,11937.0,0.0,1.0
ariel-maximiliano-richeze,2020.0,17.0,57.0,9154.0,0.0,0.0
ariel-maximiliano-richeze,2019.0,408.0,89.0,13789.0,2.0,4.0
ariel-maximiliano-richeze,2018.0,379.0,82.0,12397.0,2.0,7.0
ariel-maximiliano-richeze,2017.0,369.0,81.0,12993.0,2.0,4.0
ariel-maximiliano-richeze,2016.0,409.0,72.0,11526.0,1.0,7.0
ariel-maximiliano-richeze,2015.0,143.0,92.0,14230.0,0.0,1.0
ariel-maximiliano-richeze,2014.0,83.0,88.0,13303.0,0.0,2.0
ariel-maximiliano-richeze,2013.0,421.0,85.0,12327.0,0.0,14.0
ariel-maximiliano-richeze,2012.0,394.0,74.0,10074.0,13.0,29.0
ariel-maximiliano-richeze,2011.0,149.0,57.0,8098.0,4.0,10.0
ariel-maximiliano-richeze,2008.0,308.0,58.0,8844.0,4.0,13.0
ariel-maximiliano-richeze,2007.0,543.0,73.0,11371.0,5.0,13.0
ariel-maximiliano-richeze,2006.0,253.0,63.0,9905.0,1.0,7.0
ariel-maximiliano-richeze,2005.0,15.0,4.0,487.0,1.0,1.0
ariel-maximiliano-richeze,2004.0,7.0,10.0,1341.0,1.0,3.0
frederik-veuchelen,2017.0,5.0,70.0,11082.0,0.0,0.0
frederik-veuchelen,2016.0,15.0,73.0,10975.0,0.0,0.0
frederik-veuchelen,2015.0,8.0,89.0,14193.0,0.0,0.0
frederik-veuchelen,2014.0,79.0,79.0,12635.0,0.0,0.0
frederik-veuchelen,2013.0,126.0,95.0,15818.0,0.0,1.0
frederik-veuchelen,2012.0,89.0,85.0,13755.0,0.0,0.0
frederik-veuchelen,2011.0,68.0,92.0,14248.0,0.0,0.0
frederik-veuchelen,2010.0,56.0,76.0,12633.0,0.0,1.0
frederik-veuchelen,2009.0,24.0,60.0,10374.0,0.0,0.0
frederik-veuchelen,2008.0,166.0,65.0,10981.0,0.0,1.0
frederik-veuchelen,2007.0,101.0,64.0,10377.0,0.0,1.0
frederik-veuchelen,2006.0,127.0,71.0,11491.0,1.0,1.0
frederik-veuchelen,2005.0,89.0,70.0,10666.0,0.0,0.0
frederik-veuchelen,2004.0,23.0,51.0,8829.0,0.0,0.0
frederik-veuchelen,2003.0,26.0,12.0,1852.0,3.0,3.0
frederik-veuchelen,2002.0,0.0,5.0,858.0,0.0,0.0
chad-beyer,2017.0,8.0,27.0,3366.0,1.0,1.0
chad-beyer,2016.0,49.0,37.0,5043.0,0.0,2.0
chad-beyer,2015.0,0.0,16.0,2077.0,0.0,0.0
chad-beyer,2014.0,56.0,38.0,5226.0,0.0,0.0
chad-beyer,2013.0,14.0,60.0,8895.0,0.0,0.0
chad-beyer,2012.0,23.0,20.0,2805.0,0.0,5.0
chad-beyer,2011.0,37.0,59.0,8872.0,0.0,0.0
chad-beyer,2010.0,5.0,58.0,7644.0,0.0,0.0
chad-beyer,2009.0,2.0,18.0,2354.0,0.0,0.0
chad-beyer,2008.0,0.0,38.0,5379.0,0.0,0.0
chad-beyer,2007.0,0.0,30.0,3902.0,0.0,0.0
chad-beyer,2006.0,0.0,14.0,1681.0,0.0,0.0
chad-beyer,2005.0,0.0,14.0,1686.0,0.0,0.0
chad-beyer,2004.0,103.0,15.0,1135.0,0.0,1.0
chad-beyer,2003.0,7.0,1.0,0.0,0.0,1.0
marco-bandiera,2016.0,5.0,60.0,8676.0,0.0,0.0
marco-bandiera,2015.0,39.0,64.0,10520.0,0.0,0.0
marco-bandiera,2014.0,43.0,67.0,11168.0,0.0,0.0
marco-bandiera,2013.0,72.0,57.0,9180.0,0.0,0.0
marco-bandiera,2012.0,61.0,76.0,11886.0,0.0,1.0
marco-bandiera,2011.0,29.0,68.0,9870.0,0.0,0.0
marco-bandiera,2010.0,13.0,77.0,11170.0,0.0,0.0
marco-bandiera,2009.0,222.0,84.0,13382.0,0.0,1.0
marco-bandiera,2008.0,56.0,45.0,7212.0,0.0,0.0
marco-bandiera,2007.0,44.0,21.0,2838.0,1.0,2.0
marco-bandiera,2006.0,49.0,15.0,2083.0,2.0,5.0
marco-bandiera,2005.0,26.0,6.0,618.0,0.0,2.0
marco-bandiera,2004.0,2.0,5.0,733.0,0.0,2.0
maxime-farazijn,2022.0,0.0,1.0,187.0,0.0,0.0
maxime-farazijn,2021.0,0.0,3.0,437.0,0.0,0.0
maxime-farazijn,2020.0,0.0,1.0,187.0,0.0,0.0
maxime-farazijn,2019.0,5.0,11.0,1764.0,0.0,0.0
maxime-farazijn,2018.0,31.0,54.0,8910.0,0.0,0.0
maxime-farazijn,2017.0,32.0,56.0,9035.0,0.0,0.0
maxime-farazijn,2016.0,22.0,62.0,9448.0,0.0,0.0
maxime-farazijn,2015.0,31.0,19.0,2891.0,1.0,3.0
maxime-farazijn,2014.0,3.0,11.0,1972.0,0.0,0.0
maxime-farazijn,2013.0,0.0,16.0,2721.0,0.0,0.0
maxime-farazijn,2012.0,84.0,19.0,2141.0,0.0,0.0
maxime-farazijn,2011.0,34.0,13.0,1569.0,0.0,0.0
sho-hatsuyama,2019.0,20.0,60.0,8611.0,0.0,0.0
sho-hatsuyama,2018.0,15.0,59.0,7955.0,0.0,0.0
sho-hatsuyama,2017.0,34.0,41.0,5643.0,0.0,0.0
sho-hatsuyama,2016.0,29.0,52.0,6725.0,1.0,1.0
sho-hatsuyama,2015.0,26.0,48.0,6621.0,1.0,2.0
sho-hatsuyama,2014.0,6.0,39.0,5103.0,0.0,1.0
sho-hatsuyama,2013.0,18.0,33.0,4852.0,1.0,1.0
sho-hatsuyama,2012.0,1.0,14.0,1834.0,0.0,0.0
sho-hatsuyama,2011.0,0.0,15.0,1897.0,0.0,0.0
sho-hatsuyama,2007.0,0.0,1.0,86.0,0.0,0.0
maarten-wynants,2021.0,30.0,6.0,1297.0,0.0,0.0
maarten-wynants,2020.0,23.0,33.0,5043.0,0.0,0.0
maarten-wynants,2019.0,83.0,59.0,9369.0,0.0,0.0
maarten-wynants,2018.0,122.0,80.0,11980.0,0.0,0.0
maarten-wynants,2017.0,161.0,60.0,10379.0,0.0,2.0
maarten-wynants,2016.0,151.0,86.0,14224.0,0.0,0.0
maarten-wynants,2015.0,71.0,80.0,12952.0,0.0,0.0
maarten-wynants,2014.0,102.0,85.0,14020.0,0.0,1.0
maarten-wynants,2013.0,213.0,76.0,12490.0,0.0,1.0
maarten-wynants,2012.0,256.0,78.0,12303.0,0.0,2.0
