year,race_id,winner_id,category
2016,bretagne-classic,oliver-naesen,1.UWT
2016,gp-quebec,peter-sagan,1.UWT
2016,gp-montreal,greg-van-avermaet,1.UWT
2016,benelux-tour,niki-terpstra,2.UWT
2016,il-lombardia,johan-esteban-chaves,1.UWT
2015,tour-down-under,rohan-dennis,2.UWT
2015,paris-nice,richie-porte,2.UWT
2015,tirreno-adriatico,nairo-quintana,2.UWT
2015,milano-sanremo,john-degenkolb,1.UWT
2015,volta-a-catalunya,richie-porte,2.UWT
2015,e3-harelbeke,geraint-thomas,1.UWT
2015,gent-wevelgem,luca-paolini,1.UWT
2015,ronde-van-vlaanderen,alexander-kristoff,1.UWT
2015,itzulia-basque-country,joaquim-rodriguez,2.UWT
2015,paris-roubaix,john-degenkolb,1.UWT
2015,amstel-gold-race,michal-kwiatkowski,1.UWT
2015,la-fleche-wallone,alejandro-valverde,1.UWT
2015,liege-bastogne-liege,alejandro-valverde,1.UWT
2015,tour-de-romandie,ilnur-zakarin,2.UWT
2015,giro-d-italia,alberto-contador,2.UWT
2015,dauphine,christopher-froome,2.UWT
2015,tour-de-suisse,simon-spilak,2.UWT
2015,tour-de-france,christopher-froome,2.UWT
2015,san-sebastian,adam-yates,1.UWT
2015,tour-de-pologne,ion-izagirre,2.UWT
2015,benelux-tour,tim-wellens,2.UWT
2015,vuelta-a-espana,fabio-aru,2.UWT
2015,cyclassics-hamburg,andre-greipel,1.UWT
2015,bretagne-classic,alexander-kristoff,1.UWT
2015,gp-quebec,rigoberto-uran,1.UWT
2015,gp-montreal,tim-wellens,1.UWT
2015,il-lombardia,vincenzo-nibali,1.UWT
2014,tour-down-under,simon-gerrans,2.UWT
2014,paris-nice,carlos-betancur,2.UWT
2014,tirreno-adriatico,alberto-contador,2.UWT
2014,milano-sanremo,alexander-kristoff,1.UWT
2014,volta-a-catalunya,joaquim-rodriguez,2.UWT
2014,e3-harelbeke,peter-sagan,1.UWT
2014,gent-wevelgem,john-degenkolb,1.UWT
2014,ronde-van-vlaanderen,fabian-cancellara,1.UWT
2014,itzulia-basque-country,alberto-contador,2.UWT
2014,paris-roubaix,niki-terpstra,1.UWT
2014,amstel-gold-race,philippe-gilbert,1.UWT
2014,la-fleche-wallone,alejandro-valverde,1.UWT
