Name,Height,Weight,Nationality,Climbing,General_Classification,Time_Trial,Sprint,One_Day_Races
Carlo  Scognamiglio, 1.79 m, 67 kg   ,Italy,30Climber,50GC,1Time trial,363Sprint,352One day races
Bert-Jan  Lindeman, 1.80 m, 69 kg   ,Netherlands,268Climber,524GC,21Time trial,588Sprint,597One day races
Kristof  Goddaert,NaN,NaN,NaN,54Climber,164GC,146Time trial,1328Sprint,755One day races
Manuel  Quinziato, 1.85 m, 74 kg   ,Italy,127Climber,1245GC,1869Time trial,772Sprint,764One day races
Maciej  Bodnar, 1.86 m, 77 kg   ,Poland,68Climber,841GC,3395Time trial,171Sprint,293One day races
Niko  Eeckhout, 1.73 m, 73 kg   ,Belgium,61Climber,542GC,205Time trial,7151Sprint,5151One day races
Enrico  Barbin, 1.66 m, 60 kg   ,Italy,172Climber,296GC,1Time trial,642Sprint,314One day races
Ludovic  Turpin, 1.70 m, 57 kg   ,France,442Climber,968GC,178Time trial,1091Sprint,631One day races
Piergiorgio  Camussa,NaN,NaN,Italy,1Climber,29GC,1Time trial,185Sprint,64One day races
Allan  Davis, 1.72 m, 73 kg   ,Australia,703Climber,1201GC,47Time trial,5678Sprint,2640One day races
Carlos José  Ochoa, 1.80 m, 62 kg   ,Venezuela,278Climber,360GC,194Time trial,360Sprint,114One day races
Martijn  Maaskant, 1.85 m, 76 kg   ,Netherlands,80Climber,396GC,221Time trial,1128Sprint,725One day races
Yoann  Offredo, 1.89 m, 69 kg   ,France,148Climber,351GC,169Time trial,536Sprint,1143One day races
Sven  Renders, 1.76 m, 63 kg   ,Belgium,6Climber,110GC,9Time trial,604Sprint,383One day races
Manuele  Spadi,NaN,NaN,Italy,28Climber,77GC,21Time trial,363Sprint,229One day races
Arnaud  Gérard, 1.84 m, 70 kg   ,France,157Climber,503GC,468Time trial,628Sprint,779One day races
Axel  Merckx, 1.91 m, 77 kg   ,Belgium,1708Climber,2104GC,506Time trial,1278Sprint,2507One day races
Simone  Andreetta, 1.83 m, 69 kg   ,Italy,68Climber,87GC,0Time trial,60Sprint,127One day races
Aaron  Gate, 1.80 m, 71 kg   ,New Zealand,79Climber,160GC,130Time trial,504Sprint,120One day races
Pierre  Latour, 1.80 m, 66 kg   ,France,2456Climber,1946GC,1016Time trial,152Sprint,600One day races
James Lewis  Perry,NaN,NaN,South Africa,47Climber,48GC,89Time trial,107Sprint,68One day races
Adam  Blythe, 1.75 m, 68 kg   ,Great Britain,36Climber,431GC,16Time trial,2002Sprint,1084One day races
Fabio  Calabria, 1.64 m, 55 kg   ,Australia,2Climber,10GC,0Time trial,63Sprint,5One day races
Senne  Leysen, 1.90 m, 78 kg   ,Belgium,16Climber,85GC,133Time trial,43Sprint,69One day races
Jackson  Rodríguez, 1.70 m, 58 kg   ,Venezuela,542Climber,647GC,54Time trial,1206Sprint,369One day races
Philipp  Walsleben, 1.76 m, 66 kg   ,Germany,76Climber,199GC,68Time trial,346Sprint,91One day races
Erwann  Corbel,NaN, 1.80 m,France,18Climber,49GC,0Time trial,354Sprint,197One day races
Pablo  Urtasun, 1.76 m, 69 kg   ,Spain,146Climber,336GC,53Time trial,898Sprint,249One day races
Mauro  Finetto, 1.77 m, 62 kg   ,Italy,1002Climber,1199GC,229Time trial,1787Sprint,2156One day races
Joeri  Bueken,NaN,NaN,Belgium,0Climber,0GC,0Time trial,2Sprint,3One day races
Romain  Hardy, 1.72 m, 62 kg   ,France,842Climber,732GC,15Time trial,1161Sprint,1191One day races
Taco van der Hoorn, 1.87 m, 73 kg   ,Netherlands,141Climber,162GC,2Time trial,987Sprint,936One day races
Michael  Barry, 1.89 m, 72 kg   ,Canada,117Climber,757GC,131Time trial,594Sprint,676One day races
Volodymyr  Dyudya, 1.90 m, 80 kg   ,Ukraine,27Climber,14GC,117Time trial,132Sprint,4One day races
Tim  Ariesen, 1.82 m, 70 kg   ,Netherlands,0Climber,31GC,64Time trial,395Sprint,96One day races
David  Deroo, 1.73 m, 61 kg   ,France,0Climber,12GC,20Time trial,115Sprint,15One day races
Francesco  Ginanni,NaN,NaN,Italy,198Climber,20GC,1Time trial,758Sprint,1251One day races
Frantisek  Kloucek,NaN,NaN,Czech Republic,6Climber,4GC,89Time trial,88Sprint,9One day races
Primož  Roglič, 1.77 m, 65 kg   ,Slovenia,5662Climber,5454GC,3966Time trial,163Sprint,1537One day races
Tom  Leezer, 1.85 m, 76 kg   ,Netherlands,43Climber,582GC,100Time trial,952Sprint,768One day races
Adam  Hansen, 1.85 m, 72 kg   ,Australia,620Climber,1224GC,287Time trial,229Sprint,293One day races
Mathias  Norsgaard, 2.02 m, 81 kg   ,Denmark,0Climber,26GC,390Time trial,97Sprint,53One day races
Thierry  Marichal, 1.79 m, 72 kg   ,Belgium,34Climber,572GC,157Time trial,418Sprint,539One day races
Emmanuele  Vona,NaN,NaN,Italy,35Climber,75GC,0Time trial,106Sprint,20One day races
Michael  Woods, 1.75 m, 64 kg   ,Canada,3864Climber,1769GC,40Time trial,302Sprint,2346One day races
Klaas  Lodewyck, 1.80 m, 70 kg   ,Belgium,28Climber,168GC,27Time trial,827Sprint,456One day races
Enrico  Franzoi, 1.78 m, 70 kg   ,Italy,29Climber,167GC,91Time trial,199Sprint,183One day races
Lionel  Taminiaux, 1.73 m, 74 kg   ,Belgium,28Climber,5GC,23Time trial,537Sprint,432One day races
Brayan Steven  Ramirez, 1.78 m, 69 kg   ,Colombia,27Climber,58GC,55Time trial,114Sprint,70One day races
David  Loosli, 1.82 m, 71 kg   ,Switzerland,237Climber,507GC,11Time trial,314Sprint,201One day races
Jon  Bru,NaN,NaN,Spain,156Climber,183GC,2Time trial,686Sprint,562One day races
Ryder  Hesjedal, 1.87 m, 73 kg   ,Canada,3956Climber,2571GC,826Time trial,526Sprint,1726One day races
Michael  Goolaerts,NaN,NaN,NaN,0Climber,10GC,34Time trial,131Sprint,54One day races
Luke  Roberts, 1.80 m, 71 kg   ,Australia,195Climber,862GC,580Time trial,1538Sprint,460One day races
Marcus  Ljungqvist, 1.89 m, 73 kg   ,Sweden,234Climber,639GC,405Time trial,1092Sprint,1259One day races
Daniele  Contrini,NaN,NaN,Italy,74Climber,226GC,765Time trial,984Sprint,382One day races
Francisco José  Ventoso, 1.80 m, 75 kg   ,Spain,607Climber,1033GC,159Time trial,3573Sprint,1952One day races
Benoît  Jarrier, 1.79 m, 69 kg   ,France,11Climber,136GC,148Time trial,613Sprint,422One day races
Niklas  Axelsson, 1.80 m, 73 kg   ,Sweden,346Climber,771GC,354Time trial,740Sprint,897One day races
Leif  Hoste, 1.85 m, 80 kg   ,Belgium,44Climber,862GC,1944Time trial,1086Sprint,1509One day races
Owain  Doull, 1.81 m, 71 kg   ,Great Britain,133Climber,385GC,235Time trial,548Sprint,458One day races
Danny  Pate, 1.85 m, 73 kg   ,United States,185Climber,588GC,926Time trial,468Sprint,392One day races
Maciej  Paterski, 1.86 m, 73 kg   ,Poland,776Climber,1044GC,268Time trial,1665Sprint,1049One day races
Songezo  Jim, 1.76 m, 66 kg   ,South Africa,2Climber,91GC,7Time trial,10Sprint,25One day races
Geert  Omloop, 1.82 m, 78 kg   ,Belgium,20Climber,112GC,72Time trial,2498Sprint,2260One day races
Martijn  Budding, 1.87 m, 74 kg   ,Netherlands,36Climber,93GC,0Time trial,403Sprint,311One day races
Marcel  Aregger, 1.83 m, 70 kg   ,Switzerland,1Climber,88GC,39Time trial,111Sprint,54One day races
Ruben  Guerreiro, 1.78 m, 65 kg   ,Portugal,1373Climber,970GC,27Time trial,300Sprint,433One day races
Floris  Gerts, 1.82 m, 71 kg   ,Netherlands,84Climber,94GC,21Time trial,762Sprint,562One day races
Johnnie  Walker, 1.78 m, 63 kg   ,Australia,31Climber,135GC,6Time trial,207Sprint,0One day races
Arnaud  Coyot,NaN,NaN,NaN,32Climber,207GC,2Time trial,688Sprint,488One day races
Niccolò  Bonifazio, 1.76 m, 72 kg   ,Italy,540Climber,405GC,48Time trial,2646Sprint,1463One day races
Alexey  Vermeulen, 1.78 m, 66 kg   ,United States,22Climber,128GC,73Time trial,68Sprint,87One day races
Callum  Scotson, 1.84 m, 77 kg   ,Australia,25Climber,88GC,40Time trial,49Sprint,17One day races
Alexey  Kolessov,NaN,NaN,Kazakhstan,16Climber,7GC,29Time trial,59Sprint,3One day races
Imanol  Erviti, 1.89 m, 82 kg   ,Spain,442Climber,916GC,437Time trial,232Sprint,724One day races
Paolo  Simion, 1.85 m, 79 kg   ,Italy,60Climber,121GC,21Time trial,912Sprint,185One day races
Daniel  Viegas, 1.86 m, 70 kg   ,Portugal,0Climber,16GC,0Time trial,0Sprint,0One day races
Anthony  Geslin, 1.80 m, 68 kg   ,France,471Climber,691GC,8Time trial,1891Sprint,2415One day races
Martin  Velits, 1.85 m, 70 kg   ,Slovakia,224Climber,425GC,468Time trial,255Sprint,191One day races
Giuseppe  Fonzi, 1.80 m, 63 kg   ,Italy,20Climber,173GC,28Time trial,92Sprint,2One day races
Jonathan Patrick  McCarty, 1.78 m, 68 kg   ,United States,63Climber,167GC,19Time trial,130Sprint,114One day races
Martin  Mortensen, 1.80 m, 70 kg   ,Denmark,48Climber,188GC,329Time trial,582Sprint,381One day races
Nikita  Eskov, 1.84 m, 73 kg   ,Russia,63Climber,158GC,52Time trial,220Sprint,117One day races
Ivan  Savitskiy, 1.82 m, 72 kg   ,Russia,45Climber,154GC,75Time trial,768Sprint,117One day races
Marcel  Strauss, 1.80 m, 69 kg   ,Switzerland,49Climber,436GC,114Time trial,555Sprint,513One day races
Bryan  Coquard, 1.71 m, 59 kg   ,France,926Climber,1017GC,289Time trial,5354Sprint,2359One day races
Adrien  Petit, 1.88 m, 80 kg   ,France,58Climber,320GC,360Time trial,2325Sprint,1681One day races
Matteo  Spreafico, 1.84 m, 69 kg   ,Italy,16Climber,85GC,96Time trial,68Sprint,14One day races
Fabian  Cancellara, 1.86 m, 80 kg   ,Switzerland,1471Climber,1866GC,12010Time trial,2826Sprint,6845One day races
Ben  Swift, 1.79 m, 69 kg   ,Great Britain,1315Climber,842GC,87Time trial,2984Sprint,1798One day races
Antonio  Pedrero, 1.77 m, 60 kg   ,Spain,552Climber,586GC,14Time trial,56Sprint,141One day races
Egoitz  García, 1.80 m, 70 kg   ,Spain,201Climber,339GC,41Time trial,588Sprint,291One day races
Maurits  Lammertink, 1.69 m, 61 kg   ,Netherlands,447Climber,718GC,93Time trial,722Sprint,795One day races
Gregor  Gazvoda, 1.87 m, 72 kg   ,Slovenia,60Climber,317GC,722Time trial,504Sprint,111One day races
Pim  Ligthart, 1.81 m, 72 kg   ,Netherlands,347Climber,676GC,57Time trial,1378Sprint,1128One day races
Carlos  Quintero, 1.78 m, 63 kg   ,Colombia,321Climber,311GC,79Time trial,258Sprint,243One day races
Michael  Reihs, 1.89 m, 75 kg   ,Denmark,50Climber,17GC,1Time trial,771Sprint,465One day races
Damiano  Caruso, 1.79 m, 67 kg   ,Italy,3977Climber,3445GC,889Time trial,636Sprint,800One day races
Thibaut  Pinot, 1.80 m, 63 kg   ,France,6956Climber,5902GC,1347Time trial,287Sprint,1750One day races
Szymon  Sajnok, 1.84 m, 75 kg   ,Poland,97Climber,97GC,192Time trial,516Sprint,232One day races
Sergio  Samitier, 1.81 m, 63 kg   ,Spain,179Climber,241GC,0Time trial,3Sprint,25One day races
Luka  Mezgec, 1.83 m, 72 kg   ,Slovenia,1222Climber,474GC,33Time trial,3090Sprint,1274One day races
Dominique  Rollin, 1.88 m, 83 kg   ,Canada,130Climber,396GC,214Time trial,910Sprint,430One day races
Luca  Wackermann, 1.88 m, 68 kg   ,Italy,280Climber,409GC,1Time trial,510Sprint,200One day races
Alexander  Kamp, 1.86 m, 74 kg   ,Denmark,203Climber,453GC,41Time trial,821Sprint,302One day races
Jetse  Bol, 1.84 m, 71 kg   ,Netherlands,310Climber,469GC,145Time trial,768Sprint,365One day races
Blaise  Sonnery, 1.75 m, 60 kg   ,France,37Climber,125GC,0Time trial,31Sprint,25One day races
Mikel  Landa, 1.73 m, 60 kg   ,Spain,4884Climber,4112GC,199Time trial,218Sprint,682One day races
Nico  Mattan, 1.81 m, 69 kg   ,Belgium,390Climber,943GC,1520Time trial,2544Sprint,3136One day races
Nicolas  Jalabert, 1.73 m, 68 kg   ,France,154Climber,941GC,712Time trial,2425Sprint,1390One day races
Adam  Yates, 1.73 m, 58 kg   ,Great Britain,5122Climber,4425GC,630Time trial,130Sprint,1662One day races
Sander  Helven, 1.97 m, 74 kg   ,Belgium,3Climber,20GC,15Time trial,123Sprint,123One day races
Riccardo  Zoidl, 1.69 m, 74 kg   ,Austria,694Climber,1186GC,656Time trial,505Sprint,210One day races
Nikolay  Zhurkin, 1.88 m, 77 kg   ,Russia,5Climber,0GC,1Time trial,35Sprint,0One day races
Mike  Terpstra, 1.89 m, 64 kg   ,Netherlands,4Climber,2GC,1Time trial,62Sprint,47One day races
Steven van Vooren, 1.79 m, 75 kg   ,Belgium,4Climber,100GC,56Time trial,192Sprint,64One day races
Giovanni  Visconti, 1.75 m, 63 kg   ,Italy,4077Climber,1979GC,798Time trial,3136Sprint,5533One day races
Hermann  Pernsteiner, 1.68 m, 55 kg   ,Austria,867Climber,895GC,43Time trial,18Sprint,194One day races
Christophe  Brandt, 1.82 m, 66 kg   ,Belgium,462Climber,605GC,46Time trial,367Sprint,728One day races
Tanner  Putt, 1.78 m, 75 kg   ,United States,40Climber,14GC,9Time trial,371Sprint,91One day races
Denis  Bertolini,NaN,NaN,Italy,10Climber,15GC,0Time trial,385Sprint,27One day races
Bjorn de Decker,NaN,NaN,Belgium,0Climber,0GC,0Time trial,18Sprint,3One day races
Florian  Stalder, 1.72 m, 58 kg   ,Switzerland,105Climber,233GC,103Time trial,289Sprint,238One day races
Mathieu  Burgaudeau, 1.68 m, 61 kg   ,France,220Climber,106GC,7Time trial,35Sprint,257One day races
Maxim  Gourov, 1.89 m, 75 kg   ,Kazakhstan,3Climber,129GC,104Time trial,156Sprint,186One day races
Mikkel  Bjerg, 1.91 m, 78 kg   ,Denmark,96Climber,185GC,1323Time trial,108Sprint,103One day races
Tony  Gallopin, 1.80 m, 69 kg   ,France,3579Climber,2304GC,1067Time trial,1344Sprint,2873One day races
Blel  Kadri, 1.76 m, 66 kg   ,France,336Climber,722GC,153Time trial,345Sprint,242One day races
Dennis  Haueisen,NaN,NaN,Germany,31Climber,10GC,2Time trial,299Sprint,220One day races
Frederik  Backaert, 1.88 m, 78 kg   ,Belgium,112Climber,398GC,10Time trial,461Sprint,534One day races
Chris  Froome, 1.86 m, 68 kg   ,Great Britain,7420Climber,8251GC,4389Time trial,384Sprint,244One day races
Cameron  Wurf, 1.71 m, 71 kg   ,Australia,48Climber,559GC,306Time trial,129Sprint,44One day races
Tomáš  Bucháček,NaN,NaN,Czech Republic,63Climber,234GC,149Time trial,676Sprint,128One day races
Sebastián  Mora, 1.81 m, 70 kg   ,Spain,9Climber,10GC,55Time trial,113Sprint,15One day races
Alexandre  Blain, 1.87 m, 82 kg   ,France,22Climber,91GC,18Time trial,774Sprint,269One day races
Assan  Bazayev, 1.77 m, 62 kg   ,Kazakhstan,549Climber,666GC,231Time trial,1053Sprint,561One day races
Carlos Da Cruz, 1.82 m, 74 kg   ,France,280Climber,357GC,68Time trial,916Sprint,424One day races
Fabian  Lienhard, 1.82 m, 73 kg   ,Switzerland,98Climber,88GC,27Time trial,662Sprint,581One day races
Óscar  Freire, 1.71 m, 63 kg   ,Spain,3373Climber,1342GC,225Time trial,7570Sprint,8394One day races
Théo  Delacroix, 1.86 m, 70 kg   ,France,0Climber,5GC,0Time trial,2Sprint,5One day races
Marco  Corti, 1.71 m, 59 kg   ,Italy,15Climber,60GC,5Time trial,44Sprint,44One day races
Ralf  Grabsch, 1.85 m, 81 kg   ,Germany,40Climber,432GC,75Time trial,764Sprint,536One day races
Victor Hugo  Peña, 1.78 m, 65 kg   ,Colombia,390Climber,1176GC,2634Time trial,416Sprint,64One day races
Fabrice  Piemontesi, 1.71 m, 61 kg   ,Italy,13Climber,16GC,16Time trial,110Sprint,89One day races
Volodymyr  Bileka, 1.70 m, 65 kg   ,Ukraine,112Climber,340GC,197Time trial,712Sprint,178One day races
Pavel  Sivakov, 1.88 m, 70 kg   ,France,896Climber,1351GC,274Time trial,72Sprint,260One day races
Jorg  Pannekoek,NaN,NaN,Belgium,0Climber,0GC,0Time trial,0Sprint,0One day races
Gino  Mäder, 1.81 m, 61 kg   ,Switzerland,724Climber,569GC,146Time trial,96Sprint,88One day races
Denis  Robin,NaN,NaN,France,5Climber,30GC,4Time trial,231Sprint,71One day races
Hideto  Nakane, 1.70 m, 55 kg   ,Japan,147Climber,231GC,106Time trial,290Sprint,132One day races
Joris  Boillat, 1.76 m, 68 kg   ,Switzerland,1Climber,1GC,0Time trial,32Sprint,0One day races
Leopold  König, 1.78 m, 62 kg   ,Czech Republic,1504Climber,1417GC,661Time trial,442Sprint,256One day races
Damiano  Cunego, 1.69 m, 58 kg   ,Italy,7584Climber,5283GC,1064Time trial,1615Sprint,5436One day races
Adrien  Niyonshuti, 1.75 m, 63 kg   ,Rwanda,59Climber,54GC,272Time trial,66Sprint,60One day races
Shane  Archbold, 1.82 m, 79 kg   ,New Zealand,97Climber,131GC,63Time trial,694Sprint,291One day races
Émilien-Benoît  Bergès,NaN,NaN,France,36Climber,112GC,393Time trial,203Sprint,164One day races
Carlos  Barbero, 1.78 m, 66 kg   ,Spain,424Climber,478GC,0Time trial,2160Sprint,1154One day races
Jef Van Meirhaeghe, 1.78 m, 71 kg   ,Belgium,1Climber,14GC,0Time trial,139Sprint,27One day races
Angelo  Pagani, 1.76 m, 68 kg   ,Italy,136Climber,210GC,33Time trial,119Sprint,106One day races
Peter  Velits, 1.81 m, 63 kg   ,Slovakia,1490Climber,1575GC,1460Time trial,900Sprint,980One day races
Alessandro  Malaguti, 1.74 m, 67 kg   ,Italy,16Climber,77GC,20Time trial,498Sprint,249One day races
Bradley  White, 1.80 m, 77 kg   ,United States,4Climber,2GC,56Time trial,69Sprint,5One day races
Amaël  Moinard, 1.80 m, 69 kg   ,France,740Climber,1396GC,123Time trial,344Sprint,360One day races
Alessandro  Vanotti, 1.85 m, 70 kg   ,Italy,225Climber,516GC,47Time trial,194Sprint,139One day races
Kévin  Ledanois, 1.81 m, 67 kg   ,France,72Climber,216GC,45Time trial,332Sprint,358One day races
Silvan  Dillier, 1.83 m, 75 kg   ,Switzerland,478Climber,842GC,526Time trial,742Sprint,1121One day races
Gaëtan  Bille, 1.82 m, 67 kg   ,Belgium,128Climber,423GC,473Time trial,773Sprint,464One day races
Mário  Costa,NaN,NaN,Portugal,4Climber,71GC,46Time trial,45Sprint,20One day races
Edward Fabián  Díaz, 1.73 m, 68 kg   ,Colombia,6Climber,6GC,0Time trial,7Sprint,34One day races
Lander  Aperribay, 1.70 m, 67 kg   ,Spain,0Climber,5GC,0Time trial,15Sprint,5One day races
Noe  Gianetti,NaN,NaN,Switzerland,0Climber,10GC,0Time trial,0Sprint,0One day races
Mathieu  Halleguen, 1.81 m, 67 kg   ,France,3Climber,25GC,0Time trial,71Sprint,130One day races
Scott  Thwaites, 1.78 m, 71 kg   ,Great Britain,194Climber,199GC,1Time trial,712Sprint,775One day races
Cesare  Benedetti, 1.70 m, 63 kg   ,Poland,326Climber,418GC,1Time trial,228Sprint,365One day races
James  Shaw, 1.79 m, 63 kg   ,Great Britain,203Climber,304GC,47Time trial,64Sprint,67One day races
Kenny van Hummel, 1.76 m, 64 kg   ,Netherlands,120Climber,359GC,29Time trial,5393Sprint,2209One day races
Sven  Reutter, 1.80 m, 72 kg   ,Germany,0Climber,168GC,0Time trial,2Sprint,1One day races
Lucas Sebastián  Haedo, 1.73 m, 64 kg   ,Argentina,108Climber,171GC,5Time trial,1608Sprint,174One day races
Lindsay De Vylder, 1.83 m, 70 kg   ,Belgium,25Climber,5GC,0Time trial,66Sprint,72One day races
Luke  Durbridge, 1.87 m, 78 kg   ,Australia,233Climber,1173GC,2144Time trial,268Sprint,735One day races
Diego  Genovesi,NaN,NaN,Italy,3Climber,11GC,0Time trial,30Sprint,10One day races
Jarl  Salomein, 1.93 m, 80 kg   ,Belgium,7Climber,9GC,1Time trial,514Sprint,323One day races
Sebastian  Schönberger, 1.82 m, 64 kg   ,Austria,96Climber,156GC,11Time trial,92Sprint,151One day races
Dariusz  Batek, 1.85 m, 73 kg   ,Poland,11Climber,76GC,19Time trial,207Sprint,38One day races
Frederik  Frison, 1.94 m, 84 kg   ,Belgium,4Climber,73GC,229Time trial,158Sprint,232One day races
Maarten  Neyens, 1.90 m, 74 kg   ,Belgium,3Climber,95GC,24Time trial,341Sprint,168One day races
Gabriele  Missaglia,NaN,NaN,Italy,700Climber,937GC,378Time trial,2252Sprint,2327One day races
Miles  Scotson, 1.89 m, 74 kg   ,Australia,84Climber,186GC,679Time trial,27Sprint,123One day races
Ruben  Apers, 1.79 m, 70 kg   ,Belgium,0Climber,1GC,13Time trial,21Sprint,34One day races
Laurent  Beuret,NaN,NaN,Switzerland,40Climber,93GC,0Time trial,262Sprint,97One day races
Peter  Presslauer,NaN,NaN,Austria,0Climber,0GC,12Time trial,9Sprint,8One day races
Raúl  Alarcón, 1.89 m, 72 kg   ,Spain,32Climber,250GC,196Time trial,53Sprint,52One day races
Dmitry  Kozontchuk, 1.87 m, 75 kg   ,Russia,76Climber,421GC,49Time trial,288Sprint,157One day races
Domenico  Pozzovivo, 1.65 m, 53 kg   ,Italy,6786Climber,6008GC,815Time trial,760Sprint,2396One day races
Christoph  Roodhooft,NaN, 1.75 m,Belgium,0Climber,0GC,0Time trial,448Sprint,331One day races
Julian  Alaphilippe, 1.73 m, 62 kg   ,France,6198Climber,2364GC,1279Time trial,900Sprint,5689One day races
Marc  Fournier, 1.83 m, 71 kg   ,France,0Climber,118GC,75Time trial,85Sprint,2One day races
Krists  Neilands, 1.89 m, 69 kg   ,Latvia,391Climber,532GC,199Time trial,310Sprint,512One day races
Nick  Ingels,NaN,NaN,Belgium,0Climber,32GC,2Time trial,274Sprint,202One day races
Lennard  Hofstede, 1.86 m, 73 kg   ,Netherlands,77Climber,285GC,66Time trial,113Sprint,80One day races
Damien  Touzé, 1.74 m, 69 kg   ,France,134Climber,148GC,17Time trial,536Sprint,555One day races
Stefan  Wijnants,NaN,NaN,Belgium,0Climber,0GC,16Time trial,19Sprint,1One day races
Florian  Vermeersch, 1.93 m, 85 kg   ,Belgium,38Climber,119GC,128Time trial,196Sprint,374One day races
Giovanni  Carboni, 1.80 m, 61 kg   ,Italy,389Climber,309GC,8Time trial,87Sprint,84One day races
Grega  Bole, 1.77 m, 69 kg   ,Slovenia,1232Climber,1197GC,194Time trial,2664Sprint,1889One day races
Fabio  Negri,NaN,NaN,Italy,0Climber,0GC,0Time trial,131Sprint,30One day races
Tanguy  Turgis, 1.71 m, 61 kg   ,France,3Climber,193GC,9Time trial,79Sprint,80One day races
Matej  Jurčo, 1.86 m, 69 kg   ,Slovakia,30Climber,262GC,291Time trial,532Sprint,221One day races
Phillip  Gaimon, 1.85 m, 67 kg   ,United States,62Climber,178GC,101Time trial,75Sprint,10One day races
Leonardo  Bertagnolli, 1.74 m, 63 kg   ,Italy,41Climber,37GC,1Time trial,39Sprint,345One day races
Stefano  Oldani, 1.78 m, 65 kg   ,Italy,351Climber,131GC,22Time trial,204Sprint,178One day races
Torsten  Schmidt, 1.79 m, 73 kg   ,Germany,88Climber,670GC,566Time trial,1014Sprint,376One day races
Christian  Müller, 1.84 m, 69 kg   ,Germany,32Climber,22GC,392Time trial,94Sprint,18One day races
Robinson  Chalapud, 1.75 m, 63 kg   ,Colombia,298Climber,423GC,89Time trial,258Sprint,133One day races
Moreno  Moser, 1.77 m, 64 kg   ,Italy,882Climber,479GC,775Time trial,326Sprint,1064One day races
Dimitri  Claeys, 1.89 m, 77 kg   ,Belgium,332Climber,489GC,121Time trial,1080Sprint,1302One day races
Joeri  Stallaert, 1.83 m, 72 kg   ,Belgium,0Climber,26GC,2Time trial,1580Sprint,914One day races
Thibault  Guernalec, 1.85 m, 71 kg   ,France,46Climber,230GC,471Time trial,43Sprint,26One day races
Nicola  Testi,NaN,NaN,Italy,8Climber,0GC,0Time trial,56Sprint,19One day races
Adrien  Garel, 1.86 m, 77 kg   ,France,0Climber,0GC,1Time trial,50Sprint,27One day races
Jay  McCarthy, 1.74 m, 63 kg   ,Australia,884Climber,772GC,79Time trial,567Sprint,681One day races
Gianfranco  Zilioli, 1.76 m, 61 kg   ,Italy,130Climber,165GC,25Time trial,225Sprint,266One day races
Matthew  Wilson, 1.86 m, 72 kg   ,Australia,71Climber,519GC,90Time trial,539Sprint,251One day races
Kasper  Asgreen, 1.92 m, 75 kg   ,Denmark,906Climber,504GC,1775Time trial,286Sprint,1335One day races
Wouter  Weylandt,NaN,NaN,NaN,160Climber,285GC,16Time trial,3008Sprint,1365One day races
Maxat  Ayazbayev, 1.89 m, 75 kg   ,Kazakhstan,0Climber,43GC,14Time trial,109Sprint,73One day races
Florian  Sénéchal, 1.79 m, 77 kg   ,France,596Climber,627GC,193Time trial,1734Sprint,2653One day races
Yevgeniy  Nepomnyachshiy, 1.74 m, 62 kg   ,Kazakhstan,84Climber,219GC,23Time trial,93Sprint,56One day races
Jonathan  McEvoy, 1.83 m, 67 kg   ,Great Britain,14Climber,6GC,2Time trial,295Sprint,128One day races
Clément  Russo, 1.86 m, 73 kg   ,France,38Climber,166GC,38Time trial,264Sprint,284One day races
Boris  Shpilevsky, 1.83 m, 78 kg   ,Russia,38Climber,421GC,316Time trial,2766Sprint,97One day races
Brian van Goethem, 1.86 m, 77 kg   ,Netherlands,1Climber,50GC,167Time trial,245Sprint,225One day races
Wilson Alexander  Marentes,NaN,NaN,Colombia,37Climber,41GC,58Time trial,209Sprint,14One day races
Brian Bach  Vandborg, 1.87 m, 75 kg   ,Denmark,121Climber,599GC,981Time trial,136Sprint,154One day races
Egidijus  Juodvalkis, 1.82 m, 73 kg   ,Lithuania,2Climber,113GC,0Time trial,414Sprint,251One day races
Sébastien  Reichenbach, 1.78 m, 64 kg   ,Switzerland,1770Climber,1673GC,115Time trial,247Sprint,689One day races
Stijn  Steels, 1.82 m, 78 kg   ,Belgium,43Climber,42GC,37Time trial,327Sprint,314One day races
Paride  Grillo,NaN,NaN,Italy,181Climber,86GC,13Time trial,1699Sprint,730One day races
Jérôme  Cousin, 1.80 m, 74 kg   ,France,195Climber,437GC,49Time trial,193Sprint,89One day races
Stijn  Hoornaert,NaN,NaN,Belgium,0Climber,0GC,0Time trial,12Sprint,2One day races
Fang  Xu,NaN,NaN,China,0Climber,0GC,0Time trial,3Sprint,0One day races
Kurt-Asle  Arvesen, 1.83 m, 74 kg   ,Norway,796Climber,1580GC,1069Time trial,2144Sprint,2232One day races
Reto  Hollenstein, 1.97 m, 80 kg   ,Switzerland,198Climber,721GC,653Time trial,247Sprint,356One day races
Josep  Jufré, 1.78 m, 65 kg   ,Spain,812Climber,1596GC,218Time trial,1044Sprint,330One day races
Serghei  Țvetcov, 1.78 m, 69 kg   ,Romania,412Climber,1074GC,1353Time trial,491Sprint,98One day races
Bert De Waele, 1.81 m, 71 kg   ,Belgium,474Climber,957GC,42Time trial,2094Sprint,2454One day races
Matteo  Trentin, 1.79 m, 74 kg   ,Italy,2400Climber,520GC,250Time trial,3300Sprint,4105One day races
Kai  Reus, 1.85 m, 70 kg   ,Netherlands,4Climber,239GC,433Time trial,530Sprint,270One day races
Dorian  Godon, 1.90 m, 73 kg   ,France,612Climber,200GC,145Time trial,278Sprint,766One day races
Matteo  Busato, 1.79 m, 67 kg   ,Italy,522Climber,374GC,17Time trial,721Sprint,427One day races
