Name,Height,Weight,Nationality,Climbing,General_Classification,Time_Trial,Sprint,One_Day_Races
David  García Dapena, 1.81 m, 73 kg   ,Spain,534Climber,557GC,86Time trial,770Sprint,341One day races
Gianni  Meersman, 1.77 m, 63 kg   ,Belgium,1351Climber,970GC,328Time trial,2568Sprint,1222One day races
Jesper  Asselman, 1.84 m, 69 kg   ,Netherlands,13Climber,68GC,19Time trial,772Sprint,523One day races
Daniele  Righi, 1.80 m, 70 kg   ,Italy,230Climber,446GC,39Time trial,460Sprint,446One day races
Julien  Morice, 1.91 m, 81 kg   ,France,0Climber,33GC,103Time trial,26Sprint,55One day races
Asbjørn  Kragh Andersen, 1.82 m, 72 kg   ,Denmark,14Climber,116GC,135Time trial,792Sprint,155One day races
Amanuel  Ghebreigzabhier, 1.87 m, 68 kg   ,Eritrea,480Climber,515GC,150Time trial,320Sprint,300One day races
Maxime  Bouet, 1.84 m, 67 kg   ,France,934Climber,1514GC,397Time trial,856Sprint,687One day races
Coen  Vermeltfoort, 1.90 m, 85 kg   ,Netherlands,19Climber,73GC,208Time trial,2332Sprint,1242One day races
Giacomo  Nizzolo, 1.84 m, 72 kg   ,Italy,1194Climber,541GC,234Time trial,5730Sprint,4022One day races
Mikkel Frølich  Honoré, 1.85 m, 68 kg   ,Denmark,662Climber,380GC,79Time trial,202Sprint,606One day races
George  Bennett, 1.80 m, 58 kg   ,New Zealand,2821Climber,2908GC,221Time trial,82Sprint,618One day races
Daniel  Hoelgaard, 1.83 m, 77 kg   ,Norway,74Climber,81GC,50Time trial,800Sprint,312One day races
Pascal  Hungerbühler,NaN,NaN,Switzerland,18Climber,181GC,71Time trial,184Sprint,162One day races
Gianni Da Ros,NaN,NaN,Italy,0Climber,5GC,38Time trial,18Sprint,7One day races
Jérémy  Leveau, 1.77 m, 67 kg   ,France,66Climber,20GC,14Time trial,274Sprint,250One day races
Wolfgang  Murer,NaN,NaN,Austria,0Climber,5GC,3Time trial,4Sprint,0One day races
Gennadiy  Tatarinov, 1.83 m, 67 kg   ,Russia,9Climber,8GC,4Time trial,34Sprint,85One day races
Fabio  Piscopiello,NaN,NaN,Italy,4Climber,7GC,8Time trial,124Sprint,29One day races
Elia  Rigotto,NaN,NaN,Italy,26Climber,85GC,10Time trial,836Sprint,362One day races
Maxime  Vantomme, 1.74 m, 63 kg   ,Belgium,97Climber,684GC,133Time trial,1592Sprint,1073One day races
Rony  Martias, 1.81 m, 71 kg   ,France,42Climber,333GC,98Time trial,994Sprint,284One day races
Chad  Haga, 1.91 m, 71.5 kg   ,United States,138Climber,480GC,1304Time trial,56Sprint,84One day races
Yevgeniy  Gidich, 1.79 m, 69 kg   ,Kazakhstan,259Climber,480GC,20Time trial,1088Sprint,250One day races
Giampaolo  Cheula, 1.78 m, 62 kg   ,Italy,161Climber,619GC,30Time trial,672Sprint,456One day races
Alex  Colman, 1.84 m, 73 kg   ,Belgium,2Climber,0GC,2Time trial,74Sprint,50One day races
Carlos Mario  Ramirez,NaN,NaN,Colombia,2Climber,0GC,34Time trial,0Sprint,12One day races
Fredrik  Kessiakoff, 1.75 m, 61 kg   ,Sweden,598Climber,590GC,862Time trial,81Sprint,388One day races
Marzio  Bruseghin, 1.82 m, 70 kg   ,Italy,1850Climber,2465GC,2464Time trial,190Sprint,371One day races
Benjamin  Giraud, 1.76 m, 71 kg   ,France,36Climber,64GC,20Time trial,2405Sprint,582One day races
Roy  Goldstein, 1.74 m, 63 kg   ,Israel,0Climber,10GC,26Time trial,17Sprint,63One day races
Steff  Cras, 1.83 m, 69 kg   ,Belgium,273Climber,397GC,23Time trial,63Sprint,66One day races
Stephen  Clancy, 1.71 m, 63 kg   ,Ireland,0Climber,2GC,15Time trial,20Sprint,0One day races
Rigoberto  Urán, 1.73 m, 63 kg   ,Colombia,6758Climber,5250GC,1754Time trial,763Sprint,2919One day races
Kevin  Claeys, 1.76 m, 74 kg   ,Belgium,0Climber,0GC,0Time trial,282Sprint,74One day races
Jérémie  Galland, 1.74 m, 62 kg   ,France,166Climber,312GC,34Time trial,1319Sprint,737One day races
Lars Petter  Nordhaug, 1.76 m, 63 kg   ,Norway,740Climber,930GC,98Time trial,514Sprint,1038One day races
Gonzalo  Serrano, 1.77 m, 65 kg   ,Spain,512Climber,267GC,32Time trial,273Sprint,342One day races
Franco  Pellizotti, 1.75 m, 64 kg   ,Italy,4076Climber,3042GC,900Time trial,1462Sprint,2668One day races
Patryk  Stosz, 1.78 m, 68 kg   ,Poland,50Climber,173GC,144Time trial,830Sprint,82One day races
Bram  Tankink, 1.81 m, 71 kg   ,Netherlands,482Climber,1174GC,308Time trial,583Sprint,1143One day races
Robert  Förster, 1.77 m, 83 kg   ,Germany,634Climber,336GC,174Time trial,4630Sprint,968One day races
Gregor  Mühlberger, 1.80 m, 64 kg   ,Austria,764Climber,553GC,232Time trial,390Sprint,665One day races
Jan  Tratnik, 1.73 m, 67 kg   ,Slovenia,506Climber,658GC,1536Time trial,940Sprint,458One day races
Alessio  Taliani, 1.80 m, 60 kg   ,Italy,86Climber,87GC,64Time trial,92Sprint,89One day races
Bolat  Raimbekov, 1.81 m, 66 kg   ,Kazakhstan,1Climber,10GC,3Time trial,68Sprint,4One day races
Tomasz  Kiendyś, 1.85 m, 78 kg   ,Poland,44Climber,488GC,642Time trial,1023Sprint,297One day races
Berik  Kupeshov,NaN,NaN,Kazakhstan,0Climber,5GC,29Time trial,0Sprint,0One day races
Tom Van Becelaere,NaN,NaN,Belgium,0Climber,0GC,0Time trial,9Sprint,0One day races
Bob  Jungels, 1.89 m, 70 kg   ,Luxembourg,1891Climber,2115GC,2532Time trial,388Sprint,1105One day races
Alexey  Lutsenko, 1.74 m, 74 kg   ,Kazakhstan,2265Climber,2513GC,780Time trial,1078Sprint,1637One day races
Sylvain  Chavanel, 1.81 m, 73 kg   ,France,2398Climber,5530GC,5613Time trial,2614Sprint,3107One day races
Paul  Martens, 1.78 m, 69 kg   ,Germany,1154Climber,1146GC,484Time trial,1484Sprint,1695One day races
Claudio  Corioni, 1.80 m, 67 kg   ,Italy,46Climber,237GC,18Time trial,948Sprint,232One day races
Brenton  Jones, 1.82 m, 81 kg   ,Australia,47Climber,53GC,222Time trial,1687Sprint,127One day races
Michael  Gogl, 1.86 m, 71 kg   ,Austria,404Climber,391GC,74Time trial,179Sprint,500One day races
Quinten  Hermans, 1.74 m, 64 kg   ,Belgium,272Climber,357GC,86Time trial,275Sprint,110One day races
Garikoitz  Bravo, 1.74 m, 61 kg   ,Spain,228Climber,515GC,35Time trial,254Sprint,255One day races
Artem  Nych, 1.93 m, 74 kg   ,Russia,158Climber,315GC,154Time trial,70Sprint,140One day races
Kevin De Weert, 1.82 m, 70 kg   ,Belgium,544Climber,973GC,90Time trial,202Sprint,236One day races
Francesco  Tizza,NaN,NaN,Italy,34Climber,14GC,0Time trial,126Sprint,84One day races
Ethan  Hayter, 1.78 m, 69 kg   ,Great Britain,658Climber,598GC,436Time trial,457Sprint,495One day races
Martin  Müller, 1.88 m, 79 kg   ,Germany,14Climber,171GC,195Time trial,553Sprint,251One day races
Franck  Bouyer, 1.73 m, 65 kg   ,France,191Climber,575GC,147Time trial,942Sprint,747One day races
Jimmy  Casper, 1.75 m, 69 kg   ,France,190Climber,855GC,189Time trial,5254Sprint,1984One day races
Jake  Stewart, 1.75 m, 66 kg   ,Great Britain,48Climber,134GC,28Time trial,226Sprint,275One day races
Steven  Kruijswijk, 1.78 m, 63 kg   ,Netherlands,4156Climber,4201GC,1370Time trial,284Sprint,339One day races
Daniele  Pietropolli, 1.74 m, 61 kg   ,Italy,770Climber,960GC,16Time trial,1112Sprint,1270One day races
Arman  Kamyshev, 1.82 m, 67 kg   ,Kazakhstan,7Climber,131GC,44Time trial,432Sprint,152One day races
Winner  Anacona, 1.79 m, 65 kg   ,Colombia,844Climber,890GC,213Time trial,157Sprint,295One day races
Pascal  Eenkhoorn, 1.85 m, 70 kg   ,Netherlands,176Climber,309GC,151Time trial,262Sprint,277One day races
Rik  Verbrugghe, 1.80 m, 70 kg   ,Belgium,946Climber,1249GC,2357Time trial,937Sprint,1310One day races
Sébastien  Portal,NaN,NaN,France,4Climber,40GC,10Time trial,90Sprint,20One day races
Benny De Schrooder, 1.73 m, 61 kg   ,Belgium,49Climber,87GC,30Time trial,494Sprint,262One day races
Tony  Martin, 1.85 m, 75 kg   ,Germany,1472Climber,3738GC,10809Time trial,808Sprint,396One day races
Jörg  Ludewig, 1.84 m, 75 kg   ,Germany,142Climber,354GC,88Time trial,484Sprint,289One day races
Bert De Backer, 1.83 m, 73 kg   ,Belgium,16Climber,189GC,1Time trial,681Sprint,741One day races
Joab  Schneiter,NaN,NaN,Switzerland,16Climber,5GC,0Time trial,28Sprint,5One day races
Jonathan  Breyne, 1.86 m, 83 kg   ,Belgium,0Climber,19GC,5Time trial,83Sprint,11One day races
Kamil  Gradek, 1.94 m, 81 kg   ,Poland,13Climber,483GC,621Time trial,444Sprint,186One day races
Bruno  Armirail, 1.90 m, 74 kg   ,France,162Climber,256GC,482Time trial,8Sprint,81One day races
Cheng  Ji, 1.78 m, 67 kg   ,China,0Climber,118GC,0Time trial,27Sprint,5One day races
Chris  Lawless, 1.78 m, 72 kg   ,Great Britain,134Climber,251GC,30Time trial,610Sprint,339One day races
Tom  Boonen, 1.92 m, 82 kg   ,Belgium,1299Climber,1762GC,1146Time trial,11250Sprint,10368One day races
Kenneth Van Rooy, 1.78 m, 70 kg   ,Belgium,76Climber,170GC,1Time trial,426Sprint,397One day races
Bauke  Mollema, 1.83 m, 64 kg   ,Netherlands,8612Climber,5628GC,1522Time trial,850Sprint,4559One day races
Daniele  Colli, 1.79 m, 73 kg   ,Italy,58Climber,368GC,106Time trial,2795Sprint,985One day races
Robert  Hunter, 1.78 m, 72 kg   ,South Africa,364Climber,1111GC,1325Time trial,4236Sprint,961One day races
Max  Walscheid, 1.99 m, 90 kg   ,Germany,107Climber,221GC,698Time trial,2138Sprint,1093One day races
Federico  Rocchetti,NaN,NaN,Italy,34Climber,29GC,2Time trial,196Sprint,199One day races
Kim  Magnusson, 1.85 m, 71 kg   ,Sweden,10Climber,33GC,8Time trial,34Sprint,44One day races
Johannes  Fröhlinger, 1.73 m, 62 kg   ,Germany,352Climber,738GC,34Time trial,245Sprint,395One day races
Kjell  Carlström, 1.81 m, 70 kg   ,Finland,142Climber,613GC,122Time trial,420Sprint,480One day races
Tiesj  Benoot, 1.90 m, 72 kg   ,Belgium,2964Climber,1730GC,83Time trial,948Sprint,3168One day races
Dennis  Vanendert, 1.81 m, 64 kg   ,Belgium,61Climber,90GC,0Time trial,214Sprint,189One day races
Bernhard  Kohl, 1.72 m, 61 kg   ,Austria,341Climber,741GC,130Time trial,149Sprint,60One day races
José Vicente  García Acosta, 1.86 m, 76 kg   ,Spain,584Climber,724GC,579Time trial,866Sprint,418One day races
Filippo  Zaccanti,NaN,NaN,Italy,54Climber,154GC,7Time trial,48Sprint,14One day races
Leonardo  Giordani, 1.90 m, 68 kg   ,Italy,126Climber,165GC,85Time trial,289Sprint,658One day races
Simone  Bevilacqua, 1.80 m, 75 kg   ,Italy,0Climber,30GC,25Time trial,86Sprint,133One day races
Vitaliy  Kondrut, 1.80 m, 79 kg   ,Ukraine,0Climber,68GC,61Time trial,155Sprint,29One day races
Piet  Allegaert, 1.81 m, 70 kg   ,Belgium,108Climber,96GC,140Time trial,694Sprint,714One day races
David  O'Loughlin, 1.80 m, 68 kg   ,Ireland,28Climber,53GC,190Time trial,405Sprint,181One day races
Geert  Verheyen, 1.78 m, 68 kg   ,Belgium,382Climber,675GC,38Time trial,1626Sprint,1429One day races
Greg Van Avermaet, 1.81 m, 74 kg   ,Belgium,7023Climber,3556GC,574Time trial,5510Sprint,11213One day races
Rob  Goris,NaN,NaN,NaN,0Climber,2GC,28Time trial,32Sprint,15One day races
